,y
0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,0
150,0
151,1
152,1
153,1
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,0
176,0
177,1
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,0
303,0
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,0
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,0
387,1
388,0
389,1
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,1
529,1
530,1
531,1
532,0
